features,prediction
"[76.0,8.0,2006.0]",3
"[68.0,7.1250461133070315,1985.0]",2
"[82.0,8.3,2008.0]",3
"[80.0,8.0,2009.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[68.0,7.1250461133070315,1989.0]",2
"[89.0,8.5,2006.0]",3
"[58.0,6.6,2006.0]",0
"[87.0,8.4,2009.0]",3
"[68.0,7.1250461133070315,1984.0]",2
"[68.0,7.1250461133070315,2005.0]",0
"[91.0,8.6,2005.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[80.0,7.7,2007.0]",3
"[61.0,6.3,2010.0]",0
"[80.0,7.4,2009.0]",3
"[97.0,8.2,2013.0]",3
"[95.0,9.0,2004.0]",3
"[68.0,7.1250461133070315,1990.0]",2
"[77.0,7.9,2005.0]",3
"[68.0,7.1250461133070315,2006.0]",0
"[68.0,7.1250461133070315,1989.0]",2
"[68.0,7.1250461133070315,1988.0]",2
"[97.0,8.1,2013.0]",3
"[95.0,8.7,2002.0]",3
"[68.0,7.1250461133070315,2002.0]",2
"[77.0,7.1,2005.0]",3
"[68.0,7.1250461133070315,2010.0]",0
"[95.0,8.4,2001.0]",3
"[88.0,3.4,2011.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[68.0,7.1250461133070315,2015.0]",0
"[87.0,6.3,2010.0]",3
"[68.0,7.1250461133070315,2013.0]",0
"[83.0,5.3,2012.0]",3
"[83.0,4.8,2012.0]",3
"[94.0,6.3,2009.0]",3
"[88.0,3.2,2011.0]",3
"[97.0,8.5,2001.0]",3
"[93.0,8.9,2008.0]",3
"[85.0,8.2,2011.0]",3
"[88.0,6.4,2010.0]",3
"[97.0,8.3,2014.0]",3
"[86.0,8.7,2005.0]",3
"[94.0,7.8,2007.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[68.0,7.1250461133070315,2009.0]",0
"[68.0,7.1250461133070315,2014.0]",0
"[89.0,8.5,2004.0]",3
"[97.0,8.9,2007.0]",3
"[68.0,7.1250461133070315,1992.0]",2
"[98.0,7.9,2008.0]",3
"[96.0,8.7,1997.0]",3
"[90.0,8.4,2011.0]",3
"[84.0,7.5,2010.0]",3
"[94.0,6.3,2009.0]",3
"[68.0,7.1250461133070315,1993.0]",2
"[98.0,7.5,2008.0]",3
"[68.0,7.1250461133070315,2004.0]",2
"[68.0,7.1250461133070315,2004.0]",2
"[73.0,2.6,2013.0]",0
"[74.0,7.8,2011.0]",0
"[78.0,7.2,2012.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[91.0,7.9,2010.0]",3
"[92.0,9.2,1997.0]",3
"[87.0,7.0,2012.0]",3
"[93.0,9.0,1999.0]",3
"[74.0,7.3,2010.0]",0
"[71.0,2.6,2013.0]",0
"[94.0,8.4,2007.0]",3
"[68.0,7.1250461133070315,1994.0]",2
"[68.0,7.1250461133070315,2013.0]",0
"[88.0,8.7,2012.0]",3
"[72.0,7.8,2007.0]",0
"[96.0,8.4,2011.0]",3
"[68.0,7.1250461133070315,1992.0]",2
"[82.0,4.3,2015.0]",3
"[95.0,8.2,2004.0]",3
"[68.0,7.4,2010.0]",0
"[62.0,6.3,2007.0]",0
"[88.0,6.6,2012.0]",3
"[68.0,7.1250461133070315,1997.0]",2
"[68.0,7.1250461133070315,2012.0]",0
"[92.0,8.7,2001.0]",3
"[86.0,7.6,2009.0]",3
"[68.0,7.1250461133070315,2007.0]",0
"[68.0,7.1250461133070315,2015.0]",0
"[90.0,8.6,1999.0]",3
"[68.0,7.1250461133070315,1982.0]",2
"[83.0,8.5,2008.0]",3
"[88.0,7.6,2005.0]",3
"[83.0,5.7,2014.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[85.0,5.0,2016.0]",3
"[68.0,7.1250461133070315,1997.0]",2
"[68.0,7.1250461133070315,2014.0]",0
"[97.0,9.1,2010.0]",3
"[68.0,7.1250461133070315,1988.0]",2
"[68.0,7.1250461133070315,2015.0]",0
"[84.0,7.6,2008.0]",3
"[84.0,7.4,2011.0]",3
"[85.0,8.6,2003.0]",3
"[49.0,8.0,2009.0]",4
"[85.0,7.5,2011.0]",3
"[87.0,6.5,2015.0]",3
"[96.0,9.1,1998.0]",3
"[95.0,9.0,2006.0]",3
"[68.0,7.1250461133070315,2016.0]",0
"[91.0,8.9,1998.0]",3
"[88.0,9.1,2014.0]",3
"[92.0,9.1,2001.0]",3
"[68.0,7.1250461133070315,2003.0]",2
"[82.0,8.6,2004.0]",3
"[88.0,8.5,2002.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[74.0,7.3,2012.0]",0
"[93.0,7.7,2008.0]",3
"[92.0,8.3,2011.0]",3
"[68.0,0.0,2010.0]",0
"[94.0,8.4,2007.0]",3
"[96.0,8.8,2009.0]",3
"[68.0,7.1250461133070315,2011.0]",0
"[74.0,7.4,2005.0]",0
"[68.0,7.1250461133070315,1986.0]",2
"[95.0,8.8,2010.0]",3
"[86.0,4.3,2013.0]",3
"[85.0,6.9,2012.0]",3
"[87.0,8.6,2010.0]",3
"[97.0,8.6,2001.0]",3
"[92.0,6.4,2011.0]",3
"[76.0,9.0,2004.0]",3
"[85.0,8.8,2002.0]",3
"[68.0,7.1250461133070315,2000.0]",2
"[83.0,7.1,2009.0]",3
"[95.0,9.0,2010.0]",3
"[92.0,8.6,2002.0]",3
"[68.0,7.1250461133070315,1992.0]",2
"[93.0,7.3,2004.0]",3
"[87.0,8.1,1999.0]",3
"[91.0,7.8,2011.0]",3
"[73.0,7.4,2010.0]",0
"[94.0,8.3,2006.0]",3
"[82.0,5.7,2014.0]",3
"[96.0,8.7,2001.0]",3
"[68.0,7.1250461133070315,1992.0]",2
"[94.0,9.4,1998.0]",3
"[94.0,8.7,2008.0]",3
"[92.0,7.6,2006.0]",3
"[95.0,9.1,2013.0]",3
"[95.0,6.8,2008.0]",3
"[89.0,9.2,1998.0]",3
"[87.0,8.8,2009.0]",3
"[89.0,8.9,1996.0]",3
"[76.0,6.1,2014.0]",0
"[80.0,8.9,2007.0]",3
"[67.0,7.2,2006.0]",0
"[68.0,7.1250461133070315,1988.0]",2
"[68.0,7.1250461133070315,1999.0]",2
"[91.0,8.6,2009.0]",3
"[81.0,7.7,2007.0]",3
"[92.0,8.0,2009.0]",3
"[84.0,7.8,2001.0]",3
"[81.0,8.7,2008.0]",3
"[96.0,8.6,2011.0]",3
"[97.0,7.9,2014.0]",3
"[93.0,8.3,2001.0]",3
"[68.0,7.1250461133070315,2001.0]",2
"[68.0,7.1250461133070315,1999.0]",2
"[66.0,7.1,2001.0]",2
"[85.0,7.6,2008.0]",3
"[93.0,7.9,2016.0]",3
"[68.0,7.1250461133070315,1989.0]",2
"[83.0,7.3,2009.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[94.0,8.9,2000.0]",3
"[84.0,6.7,2012.0]",3
"[85.0,6.6,2003.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[81.0,5.4,2014.0]",3
"[68.0,7.1250461133070315,2014.0]",0
"[90.0,8.8,2009.0]",3
"[85.0,7.1250461133070315,1997.0]",3
"[94.0,8.5,0.0]",1
"[68.0,7.1250461133070315,2013.0]",0
"[84.0,8.1,2012.0]",3
"[89.0,8.8,2004.0]",3
"[68.0,7.1250461133070315,2003.0]",2
"[85.0,8.6,2007.0]",3
"[68.0,7.1250461133070315,1994.0]",2
"[90.0,6.1,2012.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[88.0,4.0,2012.0]",3
"[68.0,7.6,2003.0]",2
"[68.0,7.1250461133070315,1992.0]",2
"[68.0,7.1250461133070315,1996.0]",2
"[92.0,8.5,2006.0]",3
"[80.0,6.5,2010.0]",3
"[68.0,7.1250461133070315,2008.0]",0
"[84.0,7.5,2009.0]",3
"[90.0,8.0,2007.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[89.0,8.0,2010.0]",3
"[91.0,9.0,1996.0]",3
"[86.0,8.0,2006.0]",3
"[92.0,9.2,1999.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[68.0,7.1250461133070315,1998.0]",2
"[82.0,8.2,2007.0]",3
"[68.0,7.1,2007.0]",0
"[68.0,7.1250461133070315,2007.0]",0
"[93.0,8.5,2008.0]",3
"[88.0,8.1,2007.0]",3
"[88.0,8.0,2005.0]",3
"[68.0,7.1250461133070315,1997.0]",2
"[68.0,7.1250461133070315,2010.0]",0
"[68.0,7.1250461133070315,2014.0]",0
"[68.0,7.1250461133070315,1990.0]",2
"[93.0,8.2,2010.0]",3
"[81.0,7.3,2007.0]",3
"[92.0,8.7,2010.0]",3
"[88.0,9.0,1999.0]",3
"[80.0,5.4,2007.0]",3
"[62.0,7.7,2000.0]",2
"[94.0,8.7,2011.0]",3
"[68.0,7.1250461133070315,2014.0]",0
"[68.0,7.1250461133070315,2003.0]",2
"[98.0,7.7,2000.0]",3
"[82.0,8.2,2002.0]",3
"[91.0,8.6,1996.0]",3
"[73.0,7.6,2008.0]",0
"[86.0,8.1,2015.0]",3
"[68.0,7.1250461133070315,1991.0]",2
"[96.0,8.9,2002.0]",3
"[86.0,8.4,2007.0]",3
"[86.0,8.4,2013.0]",3
"[91.0,8.2,2011.0]",3
"[68.0,7.1250461133070315,2009.0]",0
"[91.0,7.9,2004.0]",3
"[85.0,7.9,2007.0]",3
"[68.0,7.1250461133070315,1981.0]",2
"[84.0,8.2,2006.0]",3
"[84.0,6.4,2015.0]",3
"[76.0,7.9,2002.0]",3
"[68.0,7.1250461133070315,2000.0]",2
"[77.0,3.4,2016.0]",0
"[94.0,8.9,2005.0]",3
"[81.0,8.5,2015.0]",3
"[77.0,7.9,2012.0]",3
"[97.0,7.5,2001.0]",3
"[86.0,8.9,2006.0]",3
"[94.0,8.7,2006.0]",3
"[68.0,7.1250461133070315,1987.0]",2
"[82.0,9.1,2005.0]",3
"[56.0,8.3,2010.0]",4
"[68.0,4.8,2014.0]",0
"[86.0,8.1,2006.0]",3
